hs_code,parent_code,level,item_name,chapter,heading,subheading
290512000,290512,4,プロパン-1-オール（プロピルアルコール）及びプロパン-2-オール（イソプロピルアルコール）,29,2905,290512
290513000,290513,4,ブタン-1-オール（ノルマル-ブチルアルコール）,29,2905,290513
290514000,290514,4,その他のブタノール,29,2905,290514
290516,2905,3,オクタノール（オクチルアルコール）及びその異性体,29,2905,290516
290516100,290516,4,1 2-エチルヘキシルアルコール（2-エチルヘキサン-1-オール）,29,2905,290516
290516200,290516,4,2 その他のもの,29,2905,290516
290517000,290517,4,ドデカン-1-オール（ラウリルアルコール）、ヘキサデカン-1-オール（セチルアルコール）及びオクタデカン-1-オール（ステアリルアルコール）,29,2905,290517
290519000,290519,4,その他のもの,29,2905,290519
290522000,290522,4,非環式テルペンアルコール,29,2905,290522
290529000,290529,4,その他のもの,29,2905,290529
290531000,290531,4,エチレングリコール（エタンジオール）,29,2905,290531
290532000,290532,4,"プロピレングリコール（プロパン-1,2-ジオール）",29,2905,290532
290539,2905,3,その他のもの,29,2905,290539
290539100,290539,4,"1 1,6－ヘキサンジオール",29,2905,290539
290539900,290539,4,2 その他のもの,29,2905,290539
290541000,290541,4,"2-エチル-2-（ヒドロキシメチル）プロパン-1,3-ジオール（トリメチロールプロパン）",29,2905,290541
290542000,290542,4,ペンタエリトリトール,29,2905,290542
290543000,290543,4,マンニトール,29,2905,290543
290544000,290544,4,D-グルシトール（ソルビトール）,29,2905,290544
290545000,290545,4,グリセリン,29,2905,290545
290549000,290549,4,その他のもの,29,2905,290549
290551000,290551,4,エトクロルビノール（INN）（※）,29,2905,290551
290559,2905,3,その他のもの,29,2905,290559
290559010,290559,4,"－ ジブロモネオペンチルグリコール（2,2-ジブロモメチル-1,3-プロパン-ジオール）",29,2905,290559
290559090,290559,4,－ その他のもの,29,2905,290559
2906,29,2,環式アルコール並びにそのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2906,
290611000,290611,4,メントール,29,2906,290611
290612000,290612,4,シクロヘキサノール、メチルシクロヘキサノール及びジメチルシクロヘキサノール,29,2906,290612
290613000,290613,4,ステロール及びイノシトール,29,2906,290613
290619,2906,3,その他のもの,29,2906,290619
290619100,290619,4,1 ボルネオール及びテルピネオール,29,2906,290619
290619200,290619,4,"2 1,4-シクロヘキサンジメタノール",29,2906,290619
290619900,290619,4,3 その他のもの,29,2906,290619
290621000,290621,4,ベンジルアルコール,29,2906,290621
290629000,290629,4,その他のもの,29,2906,290629
2907,29,2,フェノール及びフェノールアルコール,29,2907,
290711000,290711,4,石炭酸（ヒドロキシベンゼン）及びその塩,29,2907,290711
290712000,290712,4,クレゾール及びその塩,29,2907,290712
290713000,290713,4,オクチルフェノール及びノニルフェノール並びにこれらの異性体並びにこれらの塩,29,2907,290713
290715000,290715,4,ナフトール及びその塩,29,2907,290715
290719,2907,3,その他のもの,29,2907,290719
290719100,290719,4,1 キシレノール及びその塩,29,2907,290719
290719911,290719,4,A パラ-ターシャリ-ブチルフェノール,29,2907,290719
290719919,290719,4,B その他のもの,29,2907,290719
290719990,290719,4,(2)その他のもの,29,2907,290719
290721000,290721,4,レソルシノール及びその塩,29,2907,290721
290722000,290722,4,ヒドロキノン（キノール）及びその塩,29,2907,290722
290723000,290723,4,"4,4'-イソプロピリデンジフェノール（ビスフェノールA又はジフェニロールプロパン）及びその塩",29,2907,290723
290729000,290729,4,その他のもの,29,2907,290729
2908,29,2,フェノール又はフェノールアルコールのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2908,
290811000,290811,4,ペンタクロロフェノール（ISO）,29,2908,290811
290819,2908,3,その他のもの,29,2908,290819
290819100,290819,4,1 臭素化誘導体,29,2908,290819
290819900,290819,4,2 その他のもの,29,2908,290819
290891000,290891,4,ジノセブ（ISO）及びその塩,29,2908,290891
290892000,290892,4,"4,6-ジニトロ-オルト-クレゾール（DNOC（ISO））及びその塩",29,2908,290892
290899000,290899,4,その他のもの,29,2908,290899
2909,29,2,エーテル、エーテルアルコール、エーテルフェノール、エーテルアルコールフェノール、アルコールペルオキシド、エーテルペルオキシド、アセタールペルオキシド、ヘミアセタールペルオキシド及びケトンペルオキシド（化学的に単一であるかないかを問わない。）並びにこれらのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2909,
290911000,290911,4,ジエチルエーテル,29,2909,290911
290919,2909,3,その他のもの,29,2909,290919
290919010,290919,4,－ エチル-ターシャリ-ブチルエーテルのうちバイオマス（動植物に由来する有機物（原油、石油ガス、可燃性天然ガス及び石炭並びにこれらから製造される製品を除く。）をいう。）から製造したエチルアルコール（エタノール）を原料として製造したものである旨が関税暫定措置法施行令で定めるところにより証明されたもの,29,2909,290919
290919091,290919,4,－－ 飽和非環式エーテルのふつ素化誘導体,29,2909,290919
290919099,290919,4,－－ その他のもの,29,2909,290919
290920000,290920,4,飽和脂環式エーテル、不飽和脂環式エーテル及びシクロテルペンエーテル並びにこれらのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2909,290920
290930,2909,3,芳香族エーテル並びにそのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2909,290930
290930120,290930,4,－ デカブロモジフェニルエーテル,29,2909,290930
290930190,290930,4,－ その他のもの,29,2909,290930
290930200,290930,4,2 その他のもの,29,2909,290930
290941000,290941,4,"2,2'-オキシジエタノール（ジエチレングリコール又はジゴール）",29,2909,290941
290943000,290943,4,エチレングリコール又はジエチレングリコールのモノブチルエーテル,29,2909,290943
290944000,290944,4,エチレングリコール又はジエチレングリコールのその他のモノアルキルエーテル,29,2909,290944
290949,2909,3,その他のもの,29,2909,290949
290949010,290949,4,－ トリエチレングリコール,29,2909,290949
290949090,290949,4,－ その他のもの,29,2909,290949
290950000,290950,4,エーテルフェノール及びエーテルアルコールフェノール並びにこれらのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2909,290950
290960,2909,3,アルコールペルオキシド、エーテルペルオキシド、アセタールペルオキシド、ヘミアセタールペルオキシド及びケトンペルオキシド並びにこれらのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2909,290960
290960010,290960,4,－ アセタールペルオキシド及びヘミアセタールペルオキシド並びにこれらのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2909,290960
290960090,290960,4,－ その他のもの,29,2909,290960
2910,29,2,三員環のエポキシド、エポキシアルコール、エポキシフェノール及びエポキシエーテル並びにこれらのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2910,
291010000,291010,4,オキシラン（エチレンオキシド）,29,2910,291010
291020000,291020,4,メチルオキシラン（プロピレンオキシド）,29,2910,291020
291030000,291030,4,"1-クロロ-2,3-エポキシプロパン（エピクロロヒドリン）",29,2910,291030
291040000,291040,4,ディルドリン（ISO、INN）,29,2910,291040
291050000,291050,4,エンドリン（ISO）,29,2910,291050
291090,2910,3,その他のもの,29,2910,291090
291090030,291090,4,"1 1,2-エポキシブタン（1,2-ブチレンオキシド）",29,2910,291090
291090090,291090,4,2 その他のもの,29,2910,291090
2911,29,2,,29,2911,
291100000,291100,4,アセタール及びヘミアセタール（他の酸素官能基を有するか有しないかを問わない。）並びにこれらのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2911,291100
2912,29,2,アルデヒド（他の酸素官能基を有するか有しないかを問わない。）、アルデヒドの環式重合体及びパラホルムアルデヒド,29,2912,
291211000,291211,4,メタナール（ホルムアルデヒド）,29,2912,291211
291212000,291212,4,エタナール（アセトアルデヒド）,29,2912,291212
291219000,291219,4,その他のもの,29,2912,291219
291221000,291221,4,ベンズアルデヒド,29,2912,291221
291229000,291229,4,その他のもの,29,2912,291229
291241000,291241,4,バニリン（4-ヒドロキシ-3-メトキシベンズアルデヒド）,29,2912,291241
